"Date","Apple","Samsung","Huawei","Unknown","Oppo","Google","HTC","Sony","Nokia","Xiaomi","LG","Motorola","Alcatel","ZTE","Lenovo","OnePlus","Vodafone","Vivo","Asus","Realme","Mobicel","RIM","BBK","Micromax","Meizu","HP","Symphony","Tecno","Optus","Infinix","Honor","Wiko","Acer","Lava","Other"
2014-01,58.54,23.1,1.37,3.98,0,0.88,3.69,0.99,3.13,0.04,1.19,0.32,1.53,0.39,0.03,0,0.38,0,0,0,0,0.22,0,0.02,0,0.03,0,0,0,0,0,0,0.08,0,0.07
2014-02,56.41,25.34,1.31,3.56,0,1.16,3.51,1.71,2.92,0.04,1.11,0.31,1.4,0.36,0.03,0,0.39,0,0,0,0,0.19,0,0.02,0,0.06,0,0,0,0,0,0,0.06,0,0.09
2014-03,57.02,25.69,1.27,3.36,0,1.21,3.44,1.83,2.51,0.04,1.08,0.31,1.2,0.29,0.04,0,0.33,0,0,0,0,0.18,0,0.02,0,0.05,0,0,0,0,0,0,0.06,0,0.07
2014-04,57.03,25.72,1.31,3.32,0,1.28,3.4,1.95,2.35,0.04,1.11,0.35,1.11,0.28,0.04,0,0.33,0,0,0,0,0.17,0,0.02,0,0.07,0,0,0,0,0,0,0.06,0,0.06
2014-05,55.18,26.86,1.36,3.73,0,1.26,3.4,2.02,2.35,0.04,1.12,0.33,1.25,0.3,0.05,0,0.38,0,0,0,0,0.16,0,0.02,0,0.05,0,0,0,0,0,0.01,0.06,0,0.06
2014-06,54.78,27.17,1.33,3.75,0,1.25,3.39,2.15,2.38,0.04,1.13,0.34,1.28,0.25,0.06,0,0.34,0,0,0,0,0.16,0,0.02,0,0.05,0,0,0,0,0,0.01,0.08,0,0.07
2014-07,54.38,28.11,1.23,3.24,0,1.31,3.43,2.26,2.29,0.07,1.12,0.35,1.08,0.24,0.07,0,0.32,0,0.01,0,0,0.17,0,0.02,0,0.05,0,0,0,0,0,0.1,0.06,0,0.08
2014-08,54.09,28.76,1.18,3.06,0.01,1.25,3.5,2.42,2.15,0.09,1.15,0.36,0.91,0.23,0.08,0,0.32,0,0.02,0,0,0.16,0,0.03,0,0.05,0,0,0,0,0,0.07,0.05,0,0.06
2014-09,54.3,29.05,1.18,2.77,0.01,1.29,3.53,2.42,1.96,0.11,1.21,0.38,0.83,0.23,0.08,0.02,0.25,0,0.03,0,0,0.15,0.01,0.02,0,0.06,0,0,0,0,0,0.04,0.04,0,0.05
2014-10,54.83,28.33,1.31,2.74,0.01,1.27,3.39,2.43,1.94,0.14,1.23,0.43,0.81,0.23,0.08,0.04,0.29,0,0.04,0,0,0.14,0,0.03,0,0.06,0,0,0,0,0,0.11,0.04,0,0.07
2014-11,54.23,28.79,1.32,2.68,0.02,1.21,3.42,2.53,1.96,0.15,1.27,0.46,0.81,0.22,0.11,0.06,0.26,0,0.05,0,0,0.14,0.01,0.03,0.01,0.08,0,0,0,0,0,0.04,0.05,0,0.08
2014-12,56.33,27.52,1.31,2.56,0.02,1.02,3.19,2.59,1.85,0.14,1.2,0.45,0.74,0.21,0.09,0.07,0.26,0,0.05,0,0,0.13,0.01,0.03,0.01,0.07,0,0,0,0,0,0.03,0.05,0,0.08
2015-01,55.46,27.98,1.33,2.45,0.02,1.05,3.23,2.6,1.96,0.17,1.24,0.58,0.66,0.21,0.15,0.1,0.26,0,0.06,0,0,0.16,0.01,0.03,0.01,0.12,0,0,0,0,0,0.01,0.05,0,0.08
2015-02,55.13,27.69,1.49,2.63,0.03,1.06,3.19,2.69,2.06,0.2,1.26,0.55,0.73,0.2,0.13,0.12,0.27,0,0.09,0,0,0.14,0.02,0.04,0.01,0.11,0,0,0,0,0,0.02,0.04,0,0.09
2015-03,54.87,27.57,1.46,2.58,0.03,1.15,3.36,2.74,2.08,0.2,1.37,0.57,0.63,0.25,0.14,0.14,0.24,0,0.1,0,0,0.21,0.01,0.04,0.02,0.08,0,0,0,0,0,0.02,0.04,0,0.1
2015-04,51.01,27.21,1.55,2.84,0.07,1.37,4.47,3.28,3.5,0.17,1.47,0.57,0.64,0.24,0.24,0.15,0.25,0,0.1,0,0,0.45,0.01,0.05,0.02,0.09,0,0,0,0,0,0.02,0.07,0,0.15
2015-05,51.33,28.62,1.56,2.98,0.07,1.15,4.01,3.22,2.55,0.26,1.42,0.54,0.65,0.23,0.22,0.14,0.27,0,0.1,0,0,0.31,0.01,0.05,0.02,0.09,0,0,0,0,0,0.02,0.06,0,0.11
2015-06,54.58,27.62,1.73,3.27,0.04,0.96,3.17,2.84,1.72,0.23,1.25,0.49,0.69,0.23,0.14,0.14,0.29,0,0.11,0,0,0.15,0.02,0.05,0.02,0.12,0,0,0,0,0,0.02,0.04,0,0.06
2015-07,55.84,26.7,1.88,3.61,0.03,0.87,2.68,2.56,1.78,0.25,1.2,0.5,0.68,0.25,0.15,0.14,0.31,0,0.1,0,0,0.14,0.02,0.05,0.02,0.11,0,0,0,0,0,0.01,0.03,0,0.05
2015-08,55.56,26.88,2.07,3.67,0.05,0.82,2.66,2.52,1.68,0.26,1.22,0.5,0.7,0.25,0.15,0.14,0.3,0,0.14,0,0,0.15,0.02,0.06,0.03,0.09,0,0,0,0,0,0.01,0.02,0,0.06
