"Date","Samsung","Unknown","Xiaomi","Nokia","Micromax","Oppo","Lenovo","Vivo","Realme","Apple","Mobicel","Motorola","Sony","BBK","OnePlus","HTC","Huawei","Asus","Gionee","Lava","Lyf","LG","Spice","Tecno","Google","Coolpad","Panasonic","Infinix","Itel","LeEco","Reliance Digital","Intex","RIM","InFocus","Alcatel","Karbonn","Yu","Xolo","ZTE","Infinex","Comio","Mobiistar","HP","Opp","QMobile","Meizu","Jio","Other"
2014-01,28.84,20.22,0,37.09,6.65,0,0.48,0,0,1.25,0,0.04,1.41,0,0,0.95,0.1,0,0,0,0,0.87,1.17,0,0.1,0.01,0,0,0,0,0,0,0.35,0,0.35,0,0,0,0.08,0,0,0,0,0,0,0,0,0.03
2014-02,31.41,17.67,0,36.21,6.98,0,0.49,0,0,1.27,0,0.05,1.9,0,0,0.96,0.11,0,0,0,0,0.85,1.17,0,0.14,0.01,0,0,0,0,0,0,0.34,0,0.34,0,0,0,0.07,0,0,0,0,0,0,0,0,0.03
2014-03,31.85,17.39,0,34.93,7.6,0,0.5,0,0,1.2,0,0.12,2.42,0,0,0.96,0.11,0,0,0,0,0.81,1.18,0,0.15,0.01,0,0,0,0,0,0,0.32,0,0.34,0,0,0,0.07,0,0,0,0,0,0,0,0,0.03
2014-04,32.47,16.9,0,34.27,7.82,0,0.5,0,0,1.24,0,0.19,2.59,0,0,0.96,0.12,0,0,0,0,0.78,1.23,0,0.17,0.01,0,0,0,0,0,0,0.32,0,0.33,0,0,0,0.07,0,0,0,0,0,0,0,0,0.04
2014-05,32.2,17.33,0,33.64,8.2,0,0.53,0,0,1.23,0,0.24,2.58,0,0,0.96,0.13,0,0,0,0,0.77,1.23,0,0.19,0.02,0,0,0,0,0,0,0.32,0,0.33,0,0,0,0.06,0,0,0,0.01,0,0,0,0,0.05
2014-06,32.48,18.17,0,31.29,8.93,0.01,0.59,0,0,1.29,0,0.3,2.72,0,0,1.04,0.14,0,0,0,0,0.77,1.25,0,0.22,0.02,0,0,0,0,0,0,0.35,0,0.34,0,0,0,0.07,0,0,0,0.01,0,0,0,0,0.05
2014-07,32.56,18.13,0,30.3,9.29,0.01,0.58,0,0,1.27,0,0.58,2.84,0,0,1.05,0.14,0.01,0,0.16,0,0.75,1.25,0,0.22,0.02,0,0,0,0,0,0,0.36,0,0.33,0,0,0,0.07,0,0,0,0.01,0,0,0,0,0.05
2014-08,32.95,18.28,0.03,28.5,9.82,0.02,0.58,0,0,1.31,0,0.87,3,0,0,1.11,0.15,0.05,0,0.16,0,0.75,1.33,0,0.24,0.02,0,0,0,0,0,0,0.37,0,0.33,0,0,0,0.07,0,0,0,0.02,0,0,0,0,0.05
2014-09,32.87,17.11,0.07,28.57,10.46,0.03,0.62,0,0,1.27,0,1.05,3.13,0,0,1.18,0.16,0.08,0,0.16,0,0.76,1.38,0,0.25,0.02,0,0,0,0,0,0,0.36,0,0.33,0,0,0,0.07,0,0,0,0.02,0,0,0,0,0.05
2014-10,31.83,17.79,0.22,27.96,10.94,0.03,0.66,0,0,1.23,0,1.36,3.07,0,0,1.24,0.16,0.11,0,0.18,0,0.77,1.38,0,0.25,0.03,0,0,0,0,0,0,0.34,0,0.32,0,0,0,0.07,0,0,0,0.03,0,0,0,0,0.05
2014-11,31.6,18.57,0.38,26.14,11.44,0.05,0.68,0,0,1.29,0,1.56,3.17,0,0,1.32,0.19,0.17,0,0.19,0,0.76,1.41,0,0.25,0.03,0,0,0,0,0,0,0.34,0,0.31,0,0,0,0.06,0,0,0,0.03,0,0,0,0,0.06
2014-12,30.58,18.2,0.51,27.35,11.08,0.06,0.69,0,0,1.35,0,1.61,3.2,0,0.01,1.37,0.22,0.22,0,0.38,0,0.74,1.34,0,0.24,0.03,0,0,0,0,0,0,0.34,0,0.29,0,0,0,0.1,0,0,0,0.04,0,0,0,0,0.06
2015-01,29.9,18.11,0.65,26.86,11.21,0.08,0.73,0,0,1.45,0,1.76,3.44,0,0.03,1.53,0.27,0.3,0,0.48,0,0.73,1.26,0,0.32,0.03,0,0,0,0,0,0,0.34,0,0.28,0,0,0,0.13,0,0,0,0.04,0,0,0,0,0.06
2015-02,29.67,18.77,0.76,25.45,11.63,0.1,0.81,0,0,1.52,0,1.77,3.51,0,0.05,1.64,0.3,0.36,0,0.48,0,0.73,1.18,0,0.35,0.02,0,0,0,0,0,0,0.35,0,0.28,0,0,0,0.17,0,0,0,0.05,0,0,0,0,0.06
2015-03,29.6,19.79,0.84,23.23,12.25,0.12,0.93,0,0,1.55,0,1.86,3.6,0,0.07,1.78,0.32,0.42,0,0.5,0,0.74,1.13,0,0.38,0.02,0,0,0,0,0,0,0.33,0,0.27,0,0,0,0.15,0,0,0,0.05,0,0,0,0,0.06
2015-04,28.88,20.39,0.85,22.84,12.28,0.14,1.07,0,0,1.58,0,1.99,3.59,0,0.09,1.88,0.34,0.47,0,0.48,0,0.73,1.07,0,0.5,0.02,0,0,0,0,0,0,0.31,0,0.26,0,0,0,0.13,0,0,0,0.05,0,0,0,0,0.06
2015-05,28.5,20.71,0.87,22.32,12.55,0.14,1.26,0,0,1.58,0,2.06,3.54,0.01,0.1,1.98,0.36,0.49,0,0.45,0,0.71,1.01,0,0.55,0.02,0,0,0,0,0,0,0.29,0.01,0.24,0,0,0,0.12,0,0,0,0.06,0,0,0,0,0.05
2015-06,27.96,21.57,0.87,21.37,12.87,0.14,1.46,0,0,1.62,0,2.08,3.49,0.03,0.11,2.02,0.37,0.5,0,0.42,0,0.7,0.99,0,0.6,0.02,0,0,0,0,0,0,0.29,0.02,0.23,0,0,0,0.14,0,0,0,0.06,0,0,0,0,0.05
2015-07,27.06,21.71,0.92,20.86,12.76,0.14,1.73,0,0,1.74,0,2.08,3.36,0.05,0.12,2.03,0.38,0.48,0,0.38,0,0.68,0.94,0,1.75,0.04,0,0,0,0,0,0,0.29,0.02,0.21,0,0,0,0.15,0,0,0,0.06,0,0,0,0,0.05
2015-08,27.37,22.43,1.01,19.16,12.98,0.15,2.09,0,0,1.71,0,2.14,3.27,0.07,0.12,2.08,0.42,0.54,0,0.36,0,0.68,0.9,0,1.75,0.05,0,0,0,0,0,0,0.27,0.02,0.2,0,0,0,0.14,0,0,0,0.06,0,0,0,0,0.05
2015-09,27.3,22.98,1.06,18.31,13.14,0.15,2.41,0,0,1.54,0,2.23,3.15,0.09,0.12,2.12,0.42,0.57,0.03,0.34,0,0.66,0.87,0,1.78,0.07,0,0,0,0,0,0,0.25,0.02,0.19,0,0,0,0.11,0,0,0,0.06,0,0,0.01,0,0.05
2015-10,26.04,23.71,1.09,18.58,13.14,0.14,2.6,0,0,1.47,0,2.31,3.04,0.1,0.12,2.13,0.43,0.56,0.09,0.32,0,0.63,0.84,0,1.92,0.08,0,0,0,0,0,0,0.24,0.02,0.16,0,0,0,0.11,0,0,0,0.05,0,0,0.01,0,0.05
2015-11,24.84,24.51,1.14,18.97,12.81,0.14,2.82,0,0,1.66,0,2.35,2.85,0.11,0.13,2.12,0.42,0.55,0.13,0.28,0,0.61,0.81,0,2.08,0.08,0,0,0,0,0,0,0.23,0.02,0.15,0,0,0,0.1,0,0,0,0.05,0,0,0.01,0,0.05
2015-12,24.49,25.86,1.2,18.08,12.88,0.14,3.12,0,0,1.81,0,2.42,2.81,0.14,0.13,2.2,0.43,0.56,0.17,0.27,0,0.6,0.75,0,1.27,0.08,0,0,0,0,0,0,0.23,0.02,0.14,0,0,0,0.1,0,0,0,0.05,0,0,0.02,0,0.05
2016-01,24.06,26.84,1.27,17.35,12.78,0.15,3.4,0,0,1.9,0,2.52,2.79,0.16,0.14,2.24,0.45,0.56,0.19,0.26,0,0.61,0.71,0,0.96,0.08,0,0,0,0,0,0,0.24,0.02,0.13,0,0,0,0.09,0,0,0,0.05,0,0,0.02,0,0.04
2016-02,24.54,27.17,1.44,16.37,12.7,0.15,3.62,0,0,2.01,0,2.58,2.72,0.19,0.15,2.27,0.47,0.58,0.21,0.25,0,0.61,0.69,0,0.66,0.09,0,0,0,0,0,0,0.22,0.02,0.12,0,0,0,0.08,0,0,0,0.05,0,0,0.02,0,0.04
2016-03,27.52,23.84,2.22,15.46,12.34,0.19,3.81,0,0,2.12,0,2.66,2.9,0.19,0.25,2.25,0.48,0.82,0.23,0.23,0,0.58,0.65,0,0.65,0.09,0,0,0,0,0,0,0.19,0.01,0.11,0,0,0,0.08,0,0,0,0.05,0,0,0.02,0,0.04
2016-04,27.31,24.25,2.26,15.21,12,0.19,4.13,0,0,2.21,0,2.77,2.78,0.17,0.28,2.24,0.49,0.85,0.26,0.22,0,0.58,0.61,0,0.63,0.09,0,0,0,0,0,0,0.2,0.01,0.1,0,0,0,0.07,0,0,0,0.05,0,0,0.02,0,0.04
2016-05,27.57,24.87,2.25,14.19,11.83,0.18,4.26,0,0,2.26,0,2.73,2.73,0.17,0.28,2.25,0.48,0.84,0.29,0.2,0,0.57,0.59,0,0.92,0.09,0,0,0,0,0,0,0.2,0.01,0.09,0,0,0,0.07,0,0,0,0.04,0,0,0.02,0,0.04
2016-06,27.19,24.69,2.23,13.96,11.34,0.16,4.31,0,0,2.81,0,3,2.61,0.15,0.34,2.22,0.49,0.9,0.26,0.17,0,0.59,0.57,0,1.39,0.08,0,0,0,0,0,0,0.24,0.01,0.09,0,0,0,0.06,0,0,0,0.05,0,0,0.02,0,0.04
2016-07,27.05,26.16,2.25,13.7,10.8,0.15,4.51,0,0,3,0,3.13,2.46,0.14,0.37,2.27,0.49,0.91,0.27,0.15,0,0.58,0.5,0,0.57,0.08,0,0,0,0,0,0,0.22,0.01,0.08,0,0,0,0.05,0,0,0,0.04,0,0,0.02,0,0.04
2016-08,26.21,28.13,2.06,13.54,10.45,0.14,4.46,0,0,2.9,0,3.04,2.24,0.13,0.34,2.19,0.45,0.84,0.29,0.13,0,0.55,0.48,0,0.93,0.07,0,0,0,0,0,0,0.21,0.01,0.08,0,0,0,0.05,0,0,0,0.04,0,0,0.01,0,0.05
2016-09,26.85,30.13,2.13,11.62,10.27,0.14,4.95,0,0,2.63,0,3.05,2.17,0.13,0.31,2.16,0.45,0.86,0.39,0.13,0,0.54,0.44,0,0.21,0.08,0,0,0,0,0,0,0.16,0.01,0.07,0,0,0,0.03,0,0,0,0.03,0,0,0.02,0,0.03
2016-10,26.79,28.33,3.6,9.26,9.09,1.07,6.31,0,0,2.4,0,3.3,1.88,0.59,0.34,2.06,0.44,1.12,0.58,0.1,0.2,0.53,0.36,0,0.2,0.29,0,0,0,0.32,0.47,0,0.12,0.01,0.06,0,0,0,0.04,0,0,0,0.03,0,0,0.02,0,0.08
2016-11,27.41,19.91,5.43,8.25,8.79,2.81,6.62,0,0,2.16,0,3.01,1.8,2.48,0.36,1.85,0.54,1.28,1.26,0.12,1.36,0.48,0.33,0,0.25,0.75,0.3,0,0,0.74,1.06,0,0.12,0.05,0.05,0,0.24,0,0.03,0,0,0,0.02,0,0,0.02,0,0.07
2016-12,27.48,17.25,5.82,7.66,8.64,3.12,6.67,0,0,2.33,0,2.96,1.81,2.89,0.37,1.84,0.66,1.23,1.63,0.39,1.89,0.48,0.3,0,0.25,0.77,0.73,0,0.01,0.72,1.03,0.05,0.12,0.2,0.05,0.02,0.32,0.14,0.02,0,0,0,0.02,0,0,0.02,0,0.1
2017-01,27.18,15.68,5.9,7.74,8.21,3.56,6.76,0,0,2.31,0,2.91,1.7,3.48,0.38,1.75,0.69,1.21,1.73,0.77,2.2,0.47,0.27,0,0.24,0.83,0.91,0,0.07,0.7,0.99,0.11,0.11,0.26,0.05,0.04,0.33,0.27,0.02,0,0,0,0.02,0,0,0.02,0,0.12
2017-02,26.46,14.68,6.28,7.11,7.72,3.97,7.18,0,0,2.39,0.02,3.07,1.59,3.96,0.43,1.71,0.76,1.3,1.77,0.93,2.32,0.47,0.21,0,0.24,0.93,0.94,0,0.1,0.72,1,0.36,0.1,0.31,0.05,0.07,0.32,0.3,0.02,0,0,0,0.02,0,0,0.02,0,0.16
2017-03,25.88,15.18,6.76,6.41,7.43,4.27,7.07,0,0,2.56,0.14,3.08,1.52,4.21,0.47,1.7,0.78,1.28,1.77,0.94,2.2,0.47,0.2,0,0.24,0.91,0.92,0,0.11,0.71,0.92,0.42,0.1,0.29,0.06,0.12,0.29,0.31,0.03,0,0,0,0.02,0,0,0.02,0,0.21
